,userId,productId,rating,comment,sentiment,consistency
0,1176,750578,5,cuộc chiến sức khoẻ mỗi ngày đối chọi với rủi ro bệnh tật,neg,Invalid
1,1196,106365090,5,Tác phẩm kinh điển của Trung Quốc và bản dịch tuyệt vời của cụ Nguyễn Hiến Lê.,neg,Invalid
2,4178,208289682,5,Quá toẹt vời luônggggg 😍😍😍,neg,Invalid
3,7967,97957715,5,Cuốn sách theo pp Steiner rất gần gũi,neg,Invalid
4,12448,1080002,1,"Hộp bị móp góc, cuốn tập 1 và tập 5 cũng bị ép móp 1 góc, trên gáy sách bị phai 1 ít màu xanh dương. Rất là buồn khi bộ sách mình yêu quý ko được đẹp như ý.",pos,Invalid
5,12763,74021317,5,Vì hoàn cảnh mà con nít trở nên hiểu chuyện trước tuổi thật khiến người ta không khỏi đau lòng.,neg,Invalid
6,13116,76013378,5,"Sách hay. Nội dung cần cho các bạn quan tâm về Data
Sách giao lâu. hộp rách mốp. May mà sách ko sao",neg,Invalid
7,15195,50723822,5,Các bạn khởi nghiệp đều nên đọc cuốn này.,neg,Invalid
8,17630,75307228,4,"Nội dung sách hay, nhưng sách in bị lỗi. Trùng trang chương 7, thiếu nội dung từ 161-176",neg,Invalid
9,19051,140416370,5,Sách được bọc trong bao nên tránh bị lấm bẩn. Tiki đóng gói cẩn thận nên không bị cấn gãy góc. Giao hàng nhanh,neg,Invalid
10,20602,3304875,5,"Đọc xong, gấp quyển sách lại đã lâu nhưng cảm giác mình vẫn đang còn ở lại tiệm Namiya trong cái đêm đặc biệt ấy.",neg,Invalid
11,20602,158019964,5,"Sách đọc cho biết thôi, thực tế thì mỗi đứa mỗi kiểu 😂",neg,Invalid
12,21101,44976191,4,"Rất ưng ý với nội dung & hình thức của cuốn sách. Tuy nhiên phần bọc sách của TIKI không tốt, bọc mà lỏng lẻo rách như không bọc.",neg,Invalid
13,33342,140416370,4,"Dù là best seller nhưng thực tế là rất khó đọc, nhất là với những người thiếu sự kiên nhẫn và thiếu khả năng tập trung như mình. Do đó, mình vẫn khuyến cáo các bạn nên lên youtube nghe tóm tắt sách, nghe giới thiệu về phương pháp Flow này, trước khi quyết định có mua sách giấy để hiểu được đầy đủ hơn không.",neg,Invalid
14,33342,139303869,5,Quyển này nghe từ Fonos mà phải mua ngay để đọc. Quá cool.,neg,Invalid
15,33342,19274771,5,"Quyển sách này khiến tôi bắt đầu tìm đọc về nữ văn hào viết truyện trinh thám hàng đầu thế giới này.
Tác phẩm quá hay, không bị phi logic như Sherlock",neg,Invalid
16,35464,273426143,4,"Tiki từ ngày dùng vận chuyển ngoài chán quá ạ. Hộp sách rách móp, may trời không mưa & sách không làm sao",neg,Invalid
17,35464,243006533,4,"Nội dung mang tính nhân văn cao, nếu đọc nguyên tác thì chắc có nhiều chỗ hài hước nữa, bản dịch thì chưa lột tả được & chưa được mượt lắm",neg,Invalid
